Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,19,0.41646545651073746
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,20,0.3663991601194284
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,21,0.4899965340972199
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,22,0.3085940493772792
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,23,0.35297811553162456
NSGAIIc,Multi Objective Integer Encoding Biclustering,SP,24,0.3627734284364171
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,0,0.7352039366492574
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,1,0.6044835395713246
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,2,0.6653142041167329
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,3,0.6093180820974701
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,4,0.6550753540775536
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,5,0.677277505137184
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,6,0.7778023062610775
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,7,0.7190947216761184
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,8,0.6529949359201088
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,9,0.5873274580948797
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,10,0.6748761773029044
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,11,0.665927777323943
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,12,0.7160206919506047
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,13,0.6365687877922273
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,14,0.6541086315039799
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,15,0.7065702274554578
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,16,0.7088265593763708
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,17,0.6872963330874476
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,18,0.6970588268902045
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,19,0.6164205063793968
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,20,0.6625621799209388
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,21,0.6270565261413057
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,22,0.649600211995544
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,23,0.654213038437497
NSGAIId,Multi Objective Integer Encoding Biclustering,SP,24,0.7019766656499032
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,0,0.0029713219494477625
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,1,0.003840534967009338
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,2,0.004128266811442463
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,3,0.003940859332804489
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,4,0.003615150437669803
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,5,0.004136241302869242
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,6,0.004406666449715119
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,7,0.0034085509509515477
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,8,0.0037609238121354715
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,9,0.00365348754816105
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,10,0.003717524954882489
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,11,0.003936987367774343
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,12,0.005008035742801372
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,13,0.0037273495888343906
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,14,0.004247864310167295
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,15,0.003241871438838136
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,16,0.004601320982294097
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,17,0.00397506935678586
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,18,0.003464887687153624
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,19,0.004582198880901345
NSGAIIa,Multi Objective Integer Encoding Biclustering,GD,20,0.004242704426928164
