Hyperparameter tuning for integer encoding with data /home/khaosdev/jMetalJava/jMetal/resources/fabia_100x1000.csv
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.6541610120, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5222892560, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5954601006, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6256029539, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5944479637, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6233974913, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7638676899, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7505813789, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6314595552, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7618156782, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.7998129695, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.6124630982, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6562066858, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6519612164, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6772298993, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.8089120488, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7985267616, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6481265419, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7516476886, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.8028502058, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.4872713775, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5454286855, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5223940519, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5478029527, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5633236626, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5556669456, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5174823129, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5700484526, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5960943585, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5504204802, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5397208845, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5812995819, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5572559423, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5688227836, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5725119885, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5778832618, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5816444691, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5922068959, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5383462059, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5460577346, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5617824100, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5699647583, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5770621848, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5884715826, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5786691042, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5976578432, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5926543911, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5831686681, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6234944476, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6753309205, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6425772557, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7188482957, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7611814977, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7071951134, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7623778461, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.7539124319, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.4804327920, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6011940897, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6378716386, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6804200995, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6991367219, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7072348350, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7263666383, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7874875245, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.8180398628, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.4411682573, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.4944721502, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6359074341, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6939381889, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7368801073, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7549237151, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.8121727875, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7734507472, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.7306236110, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5509969417, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.5500098712, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5240795825, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.5460081659, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5732817946, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5433508162, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.5446580323, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.5640899787, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.5468270302, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.5970422139, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6436331049, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.5986014738, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6620388035, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7555273461, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7453199422, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.7836380093, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.1, hypervolume=0.7600694620, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.1, hypervolume=0.7694512738, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.1, hypervolume=0.6253356723, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.1, hypervolume=0.6462708327, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.1, hypervolume=0.6546586117, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.1, hypervolume=0.6577247058, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.1, hypervolume=0.6489916113, mutationProbability=0.010}
