Hyperparameter tuning for binary encoding with data /home/khaosdev/jMetalJava/jMetal/resources/fabia_100x100.csv
Configuration: {maxEvaluations=250000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.5, hypervolume=0.5431467108, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.5, hypervolume=0.5504716764, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.5, hypervolume=0.5438335470, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.5, hypervolume=0.7786615813, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.5, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.5, hypervolume=0.4273549826, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.5, hypervolume=0.4332813058, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.5, hypervolume=0.4389829302, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.5, hypervolume=0.4396266446, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.4533374458, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.4639231566, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.4537028996, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.4579949114, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.5, hypervolume=0.4629558069, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.5, hypervolume=0.4266116628, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.5, hypervolume=0.4513359519, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.5, hypervolume=0.4662272386, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.5, hypervolume=0.4663613568, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.4667293541, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.4771227345, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.4815125311, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.4717349069, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.5, hypervolume=0.4774643986, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.5, hypervolume=0.4448709048, mutationProbability=0.100}
Configuration: {maxEvaluations=100000, crossoverProbability=0.5, hypervolume=0.4732511851, mutationProbability=0.100}
Configuration: {maxEvaluations=200000, crossoverProbability=0.5, hypervolume=0.4860838571, mutationProbability=0.100}
Configuration: {maxEvaluations=250000, crossoverProbability=0.5, hypervolume=0.4871294649, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.4976705208, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.5018800859, mutationProbability=0.100}
Configuration: {maxEvaluations=500000, crossoverProbability=0.5, hypervolume=0.5018092326, mutationProbability=0.100}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.5, hypervolume=0.5148221490, mutationProbability=0.100}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.5, hypervolume=0.5075314415, mutationProbability=0.100}
Configuration: {maxEvaluations=50000, crossoverProbability=0.9, hypervolume=0.4903222843, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.9, hypervolume=0.5013661786, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.9, hypervolume=0.4833648024, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.9, hypervolume=0.5435391565, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.9, hypervolume=0.6251338641, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.9, hypervolume=0.5477417101, mutationProbability=0.001}
Configuration: {maxEvaluations=100000, crossoverProbability=0.9, hypervolume=0.5977848148, mutationProbability=0.001}
Configuration: {maxEvaluations=200000, crossoverProbability=0.9, hypervolume=0.5947052809, mutationProbability=0.001}
Configuration: {maxEvaluations=250000, crossoverProbability=0.9, hypervolume=0.7086961847, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.9, hypervolume=0.6319606837, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=500000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.001}
Configuration: {maxEvaluations=50000, crossoverProbability=0.9, hypervolume=0.4904680616, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.9, hypervolume=0.5838150289, mutationProbability=0.010}
Configuration: {maxEvaluations=200000, crossoverProbability=0.9, hypervolume=0.1271676301, mutationProbability=0.010}
Configuration: {maxEvaluations=250000, crossoverProbability=0.9, hypervolume=0.5847246709, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.9, hypervolume=0.2095949481, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=500000, crossoverProbability=0.9, hypervolume=0.0000000000, mutationProbability=0.010}
Configuration: {maxEvaluations=1000000, crossoverProbability=0.9, hypervolume=0.2344975606, mutationProbability=0.010}
Configuration: {maxEvaluations=2000000, crossoverProbability=0.9, hypervolume=0.5780346821, mutationProbability=0.010}
Configuration: {maxEvaluations=50000, crossoverProbability=0.9, hypervolume=0.5506736953, mutationProbability=0.010}
Configuration: {maxEvaluations=100000, crossoverProbability=0.9, hypervolume=0.5659455986, mutationProbability=0.010}
